Area,Age,Year at 30 June,Sex,Value
Tasman region,40-44 Years,2010,Male,1730
Nelson region,40-44 Years,2008,Male,1630
Nelson region,40-44 Years,2009,Male,1600
Nelson region,40-44 Years,2010,Male,1630
Nelson region,40-44 Years,2012,Male,1720
Nelson region,40-44 Years,2011,Male,1670
Marlborough region,40-44 Years,2008,Male,1480
Marlborough region,40-44 Years,2009,Male,1460
Marlborough region,40-44 Years,2010,Male,1480
Marlborough region,40-44 Years,2012,Male,1450
Marlborough region,40-44 Years,2011,Male,1450
West Coast region,40-44 Years,2012,Male,1160
West Coast region,40-44 Years,2011,Male,1130
West Coast region,40-44 Years,2010,Male,1170
West Coast region,40-44 Years,2009,Male,1220
West Coast region,40-44 Years,2008,Male,1270
Canterbury region,40-44 Years,2006,Male,20080
Canterbury region,40-44 Years,2007,Male,20000
Canterbury region,40-44 Years,2008,Male,20070
Tasman region,40-44 Years,2014,Male,1690
Tasman region,40-44 Years,2015,Male,1580
Tasman region,40-44 Years,2013,Male,1720
Nelson region,40-44 Years,2013,Male,1720
Nelson region,40-44 Years,2015,Male,1640
Nelson region,40-44 Years,2014,Male,1690
Marlborough region,40-44 Years,2013,Male,1410
Marlborough region,40-44 Years,2015,Male,1380
Marlborough region,40-44 Years,2014,Male,1410
West Coast region,40-44 Years,2014,Male,1130
West Coast region,40-44 Years,2013,Male,1140
West Coast region,40-44 Years,2015,Male,1070
Canterbury region,40-44 Years,2011,Male,20130
Canterbury region,40-44 Years,2012,Male,19990
Canterbury region,40-44 Years,2009,Male,20320
Canterbury region,40-44 Years,2010,Male,20440
Otago region,40-44 Years,2006,Male,7060
Otago region,40-44 Years,2007,Male,6870
Otago region,40-44 Years,2008,Male,6650
Northland region,45-49 Years,2006,Male,5510
Northland region,45-49 Years,2007,Male,5620
Northland region,45-49 Years,2008,Male,5700
Canterbury region,40-44 Years,2015,Male,19640
Canterbury region,40-44 Years,2013,Male,19900
Canterbury region,40-44 Years,2014,Male,19840
Otago region,40-44 Years,2009,Male,6610
Otago region,40-44 Years,2010,Male,6550
Northland region,45-49 Years,2009,Male,5700
Northland region,45-49 Years,2010,Male,5690
Auckland region,45-49 Years,2006,Male,47830
Auckland region,45-49 Years,2008,Male,50370
Auckland region,45-49 Years,2007,Male,49150
Otago region,40-44 Years,2015,Male,6760
Otago region,40-44 Years,2012,Male,6740
Otago region,40-44 Years,2013,Male,6860
Otago region,40-44 Years,2011,Male,6650
Otago region,40-44 Years,2014,Male,6780
Southland region,40-44 Years,2008,Male,3330
Southland region,40-44 Years,2006,Male,3640
Southland region,40-44 Years,2007,Male,3480
Northland region,45-49 Years,2011,Male,5600
Northland region,45-49 Years,2012,Male,5470
Northland region,45-49 Years,2013,Male,5310
Northland region,45-49 Years,2014,Male,5230
Auckland region,45-49 Years,2009,Male,51500
Auckland region,45-49 Years,2010,Male,51710
Southland region,40-44 Years,2014,Male,3060
Northland region,45-49 Years,2015,Male,5230
Southland region,40-44 Years,2011,Male,3160
Southland region,40-44 Years,2012,Male,3130
Southland region,40-44 Years,2013,Male,3140
Southland region,40-44 Years,2009,Male,3220
Southland region,40-44 Years,2010,Male,3090
Southland region,40-44 Years,2015,Male,3090
Auckland region,45-49 Years,2011,Male,52070
Auckland region,45-49 Years,2012,Male,51670
Auckland region,45-49 Years,2014,Male,51160
Auckland region,45-49 Years,2015,Male,51330
Auckland region,45-49 Years,2013,Male,51370
Waikato region,45-49 Years,2006,Male,13760
Waikato region,45-49 Years,2007,Male,14040
Waikato region,45-49 Years,2008,Male,14240
Waikato region,45-49 Years,2009,Male,14240
Waikato region,45-49 Years,2010,Male,14280
Waikato region,45-49 Years,2015,Male,13950
Waikato region,45-49 Years,2014,Male,13840
Waikato region,45-49 Years,2011,Male,14140
Waikato region,45-49 Years,2012,Male,13940
Waikato region,45-49 Years,2013,Male,13780
Bay of Plenty region,45-49 Years,2007,Male,9520
Bay of Plenty region,45-49 Years,2006,Male,9270
Bay of Plenty region,45-49 Years,2009,Male,9650
Bay of Plenty region,45-49 Years,2010,Male,9590
Bay of Plenty region,45-49 Years,2008,Male,9680
Bay of Plenty region,45-49 Years,2011,Male,9410
Bay of Plenty region,45-49 Years,2015,Male,8810
Bay of Plenty region,45-49 Years,2014,Male,8760
Bay of Plenty region,45-49 Years,2013,Male,8870
Bay of Plenty region,45-49 Years,2012,Male,9020
Gisborne region,45-49 Years,2006,Male,1630
Hawke's Bay region,45-49 Years,2006,Male,5450
Taranaki region,45-49 Years,2007,Male,3940
Taranaki region,45-49 Years,2006,Male,3820
Gisborne region,45-49 Years,2014,Male,1390
Gisborne region,45-49 Years,2012,Male,1460
Gisborne region,45-49 Years,2013,Male,1410
Gisborne region,45-49 Years,2015,Male,1380
Gisborne region,45-49 Years,2007,Male,1580
Gisborne region,45-49 Years,2008,Male,1600
Gisborne region,45-49 Years,2009,Male,1580
Gisborne region,45-49 Years,2010,Male,1540
Gisborne region,45-49 Years,2011,Male,1490
Hawke's Bay region,45-49 Years,2010,Male,5590
Hawke's Bay region,45-49 Years,2009,Male,5650
Hawke's Bay region,45-49 Years,2011,Male,5450
Hawke's Bay region,45-49 Years,2008,Male,5650
Hawke's Bay region,45-49 Years,2007,Male,5510
Hawke's Bay region,45-49 Years,2013,Male,5200
Hawke's Bay region,45-49 Years,2014,Male,5070
Hawke's Bay region,45-49 Years,2015,Male,5070
Hawke's Bay region,45-49 Years,2012,Male,5350
Taranaki region,45-49 Years,2014,Male,3760
Taranaki region,45-49 Years,2012,Male,3820
Taranaki region,45-49 Years,2013,Male,3780
Taranaki region,45-49 Years,2015,Male,3820
Taranaki region,45-49 Years,2009,Male,4080
Taranaki region,45-49 Years,2008,Male,4040
Taranaki region,45-49 Years,2011,Male,3910
Taranaki region,45-49 Years,2010,Male,4030
Manawatu-Wanganui region,45-49 Years,2006,Male,8100
Manawatu-Wanganui region,45-49 Years,2009,Male,8230
Manawatu-Wanganui region,45-49 Years,2012,Male,7610
Manawatu-Wanganui region,45-49 Years,2010,Male,8100
Manawatu-Wanganui region,45-49 Years,2011,Male,7870
Manawatu-Wanganui region,45-49 Years,2007,Male,8110
Manawatu-Wanganui region,45-49 Years,2008,Male,8240
Manawatu-Wanganui region,45-49 Years,2015,Male,7090
Manawatu-Wanganui region,45-49 Years,2013,Male,7330
Manawatu-Wanganui region,45-49 Years,2014,Male,7140
Wellington region,45-49 Years,2006,Male,16480
Wellington region,45-49 Years,2007,Male,16890
Wellington region,45-49 Years,2011,Male,17280
Wellington region,45-49 Years,2010,Male,17380
Wellington region,45-49 Years,2009,Male,17320
Wellington region,45-49 Years,2008,Male,17230
Wellington region,45-49 Years,2015,Male,16820
Wellington region,45-49 Years,2013,Male,16890
Wellington region,45-49 Years,2012,Male,17000
Tasman region,45-49 Years,2006,Male,1890
Wellington region,45-49 Years,2014,Male,16770
Tasman region,45-49 Years,2009,Male,1900
Tasman region,45-49 Years,2008,Male,1930
Tasman region,45-49 Years,2010,Male,1900
Tasman region,45-49 Years,2007,Male,1920
Tasman region,45-49 Years,2011,Male,1900
Tasman region,45-49 Years,2012,Male,1850
Tasman region,45-49 Years,2014,Male,1850
Tasman region,45-49 Years,2015,Male,1870
Nelson region,45-49 Years,2011,Male,1770
Nelson region,45-49 Years,2012,Male,1750
Nelson region,45-49 Years,2010,Male,1780
Tasman region,45-49 Years,2013,Male,1820
Nelson region,45-49 Years,2009,Male,1810
Nelson region,45-49 Years,2008,Male,1760
Nelson region,45-49 Years,2007,Male,1740
Nelson region,45-49 Years,2006,Male,1730
Nelson region,45-49 Years,2014,Male,1700
Nelson region,45-49 Years,2013,Male,1740
Marlborough region,45-49 Years,2011,Male,1560
Marlborough region,45-49 Years,2010,Male,1610
Marlborough region,45-49 Years,2009,Male,1670
Marlborough region,45-49 Years,2008,Male,1680
Marlborough region,45-49 Years,2007,Male,1700
Marlborough region,45-49 Years,2006,Male,1710
Marlborough region,45-49 Years,2014,Male,1430
Marlborough region,45-49 Years,2013,Male,1460
Marlborough region,45-49 Years,2012,Male,1530
West Coast region,45-49 Years,2013,Male,1270
West Coast region,45-49 Years,2012,Male,1320
West Coast region,45-49 Years,2006,Male,1420
West Coast region,45-49 Years,2014,Male,1190
West Coast region,45-49 Years,2007,Male,1450
West Coast region,45-49 Years,2008,Male,1460
West Coast region,45-49 Years,2009,Male,1430
West Coast region,45-49 Years,2011,Male,1380
West Coast region,45-49 Years,2010,Male,1400
Canterbury region,45-49 Years,2013,Male,19910
Canterbury region,45-49 Years,2012,Male,19840
Canterbury region,45-49 Years,2006,Male,19690
Canterbury region,45-49 Years,2009,Male,21000
Canterbury region,45-49 Years,2007,Male,20380
Canterbury region,45-49 Years,2008,Male,20820
Canterbury region,45-49 Years,2011,Male,20340
Canterbury region,45-49 Years,2010,Male,21040
Nelson region,45-49 Years,2015,Male,1730
Marlborough region,45-49 Years,2015,Male,1460
West Coast region,45-49 Years,2015,Male,1100
Canterbury region,45-49 Years,2015,Male,20600
Canterbury region,45-49 Years,2014,Male,20280
Northland region,50-54 Years,2006,Male,5240
Northland region,50-54 Years,2007,Male,5330
Northland region,50-54 Years,2008,Male,5470
Northland region,50-54 Years,2009,Male,5570
Northland region,50-54 Years,2010,Male,5690
Northland region,50-54 Years,2011,Male,5670
Northland region,50-54 Years,2012,Male,5770
Otago region,45-49 Years,2006,Male,7220
Otago region,45-49 Years,2008,Male,7360
Otago region,45-49 Years,2007,Male,7280
Otago region,45-49 Years,2010,Male,7230
Otago region,45-49 Years,2009,Male,7350
Otago region,45-49 Years,2011,Male,7080
Otago region,45-49 Years,2012,Male,6850
Southland region,45-49 Years,2012,Male,3420
Southland region,45-49 Years,2011,Male,3570
Southland region,45-49 Years,2009,Male,3690
Southland region,45-49 Years,2010,Male,3690
Southland region,45-49 Years,2007,Male,3670
Southland region,45-49 Years,2008,Male,3670
Southland region,45-49 Years,2006,Male,3590
Northland region,50-54 Years,2013,Male,5820
Auckland region,50-54 Years,2012,Male,47070
Auckland region,50-54 Years,2013,Male,48490
Auckland region,50-54 Years,2006,Male,39810
Auckland region,50-54 Years,2007,Male,40870
Auckland region,50-54 Years,2008,Male,42010
Auckland region,50-54 Years,2009,Male,43130
Auckland region,50-54 Years,2011,Male,45720
Auckland region,50-54 Years,2010,Male,44420
Southland region,45-49 Years,2013,Male,3290
Northland region,50-54 Years,2014,Male,5780
Auckland region,50-54 Years,2015,Male,50560
Auckland region,50-54 Years,2014,Male,49960
Northland region,50-54 Years,2015,Male,5750
Otago region,45-49 Years,2015,Male,6670
Otago region,45-49 Years,2014,Male,6710
Southland region,45-49 Years,2014,Male,3200
Otago region,45-49 Years,2013,Male,6660
Waikato region,50-54 Years,2009,Male,13170
Waikato region,50-54 Years,2010,Male,13410
Waikato region,50-54 Years,2006,Male,12160
Southland region,45-49 Years,2015,Male,3100
Waikato region,50-54 Years,2007,Male,12470
Waikato region,50-54 Years,2008,Male,12770
Waikato region,50-54 Years,2012,Male,14000
Waikato region,50-54 Years,2011,Male,13770
Waikato region,50-54 Years,2013,Male,14180
Waikato region,50-54 Years,2014,Male,14240
Waikato region,50-54 Years,2015,Male,14300
Bay of Plenty region,50-54 Years,2009,Male,8770
Bay of Plenty region,50-54 Years,2006,Male,8260
Bay of Plenty region,50-54 Years,2007,Male,8480
Bay of Plenty region,50-54 Years,2008,Male,8610
Gisborne region,50-54 Years,2007,Male,1530
Gisborne region,50-54 Years,2006,Male,1520
Gisborne region,50-54 Years,2009,Male,1530
Gisborne region,50-54 Years,2008,Male,1520
Bay of Plenty region,50-54 Years,2010,Male,8960
Bay of Plenty region,50-54 Years,2012,Male,9370
Bay of Plenty region,50-54 Years,2011,Male,9170
Bay of Plenty region,50-54 Years,2013,Male,9450
Bay of Plenty region,50-54 Years,2014,Male,9430
Gisborne region,50-54 Years,2010,Male,1550
Gisborne region,50-54 Years,2011,Male,1560
Gisborne region,50-54 Years,2012,Male,1530
Gisborne region,50-54 Years,2013,Male,1530
Gisborne region,50-54 Years,2014,Male,1500
Hawke's Bay region,50-54 Years,2007,Male,4950
Hawke's Bay region,50-54 Years,2008,Male,4960
Hawke's Bay region,50-54 Years,2006,Male,4860
Gisborne region,50-54 Years,2015,Male,1470
Taranaki region,50-54 Years,2007,Male,3590
Taranaki region,50-54 Years,2006,Male,3540
Taranaki region,50-54 Years,2008,Male,3610
Manawatu-Wanganui region,50-54 Years,2009,Male,7460
Manawatu-Wanganui region,50-54 Years,2008,Male,7330
Manawatu-Wanganui region,50-54 Years,2006,Male,7020
Manawatu-Wanganui region,50-54 Years,2007,Male,7240
Bay of Plenty region,50-54 Years,2015,Male,9440
Hawke's Bay region,50-54 Years,2013,Male,5550
Hawke's Bay region,50-54 Years,2014,Male,5530
Hawke's Bay region,50-54 Years,2009,Male,5080
Hawke's Bay region,50-54 Years,2011,Male,5390
Hawke's Bay region,50-54 Years,2012,Male,5440
Taranaki region,50-54 Years,2010,Male,3710
Taranaki region,50-54 Years,2009,Male,3650
Taranaki region,50-54 Years,2012,Male,3930
Hawke's Bay region,50-54 Years,2010,Male,5200
Taranaki region,50-54 Years,2011,Male,3810
Taranaki region,50-54 Years,2014,Male,4050
Taranaki region,50-54 Years,2013,Male,4000
Taranaki region,50-54 Years,2015,Male,3990
Manawatu-Wanganui region,50-54 Years,2013,Male,8030
Manawatu-Wanganui region,50-54 Years,2015,Male,7910
Manawatu-Wanganui region,50-54 Years,2014,Male,8020
Manawatu-Wanganui region,50-54 Years,2011,Male,7810
Manawatu-Wanganui region,50-54 Years,2012,Male,7900
Manawatu-Wanganui region,50-54 Years,2010,Male,7600
Wellington region,50-54 Years,2008,Male,14460
Wellington region,50-54 Years,2007,Male,14240
Wellington region,50-54 Years,2006,Male,13920
Hawke's Bay region,50-54 Years,2015,Male,5510
Wellington region,50-54 Years,2010,Male,15470
Wellington region,50-54 Years,2009,Male,15060
Wellington region,50-54 Years,2012,Male,16290
Wellington region,50-54 Years,2011,Male,15910
Wellington region,50-54 Years,2013,Male,16540
Wellington region,50-54 Years,2014,Male,16590
Wellington region,50-54 Years,2015,Male,16720
Tasman region,50-54 Years,2006,Male,1730
Tasman region,50-54 Years,2007,Male,1790
Tasman region,50-54 Years,2008,Male,1830
Tasman region,50-54 Years,2009,Male,1840
Tasman region,50-54 Years,2010,Male,1860
Tasman region,50-54 Years,2012,Male,1880
Tasman region,50-54 Years,2013,Male,1890
Tasman region,50-54 Years,2014,Male,1880
Tasman region,50-54 Years,2011,Male,1890
Nelson region,50-54 Years,2015,Male,1790
Nelson region,50-54 Years,2014,Male,1880
Tasman region,50-54 Years,2015,Male,1940
Nelson region,50-54 Years,2011,Male,1760
Nelson region,50-54 Years,2012,Male,1810
Nelson region,50-54 Years,2010,Male,1710
Nelson region,50-54 Years,2013,Male,1840
Nelson region,50-54 Years,2009,Male,1650
Nelson region,50-54 Years,2008,Male,1580
Nelson region,50-54 Years,2007,Male,1530
Nelson region,50-54 Years,2006,Male,1520
West Coast region,50-54 Years,2006,Male,1300
Marlborough region,50-54 Years,2006,Male,1560
Marlborough region,50-54 Years,2015,Male,1600
Marlborough region,50-54 Years,2011,Male,1690
Marlborough region,50-54 Years,2013,Male,1640
Marlborough region,50-54 Years,2012,Male,1660
Marlborough region,50-54 Years,2014,Male,1640
Marlborough region,50-54 Years,2007,Male,1590
Marlborough region,50-54 Years,2008,Male,1650
Marlborough region,50-54 Years,2009,Male,1700
Marlborough region,50-54 Years,2010,Male,1710
West Coast region,50-54 Years,2010,Male,1420
West Coast region,50-54 Years,2009,Male,1360
West Coast region,50-54 Years,2008,Male,1320
West Coast region,50-54 Years,2007,Male,1330
West Coast region,50-54 Years,2014,Male,1410
West Coast region,50-54 Years,2012,Male,1450
West Coast region,50-54 Years,2013,Male,1440
West Coast region,50-54 Years,2011,Male,1440
West Coast region,50-54 Years,2015,Male,1370
Canterbury region,50-54 Years,2010,Male,19550
Canterbury region,50-54 Years,2009,Male,18980
Canterbury region,50-54 Years,2011,Male,19560
Canterbury region,50-54 Years,2008,Male,18400
Canterbury region,50-54 Years,2007,Male,17970
Canterbury region,50-54 Years,2014,Male,20590
Canterbury region,50-54 Years,2012,Male,19880
Canterbury region,50-54 Years,2015,Male,20700
Canterbury region,50-54 Years,2013,Male,20460
Canterbury region,50-54 Years,2006,Male,17590
Otago region,50-54 Years,2006,Male,6600
Otago region,50-54 Years,2007,Male,6760
Otago region,50-54 Years,2009,Male,6980
Otago region,50-54 Years,2008,Male,6880
Otago region,50-54 Years,2011,Male,7150
Otago region,50-54 Years,2010,Male,7110
Otago region,50-54 Years,2013,Male,7220
Otago region,50-54 Years,2012,Male,7180
Otago region,50-54 Years,2015,Male,7210
Otago region,50-54 Years,2014,Male,7250
Auckland region,55-59 Years,2006,Male,35500
Northland region,55-59 Years,2006,Male,4990
Southland region,50-54 Years,2009,Male,3400
Southland region,50-54 Years,2010,Male,3420
Southland region,50-54 Years,2011,Male,3480
Southland region,50-54 Years,2007,Male,3270
Southland region,50-54 Years,2008,Male,3350
Southland region,50-54 Years,2013,Male,3570
Southland region,50-54 Years,2012,Male,3570
Southland region,50-54 Years,2014,Male,3580
Southland region,50-54 Years,2006,Male,3280
Northland region,55-59 Years,2008,Male,5090
Northland region,55-59 Years,2007,Male,5010
Northland region,55-59 Years,2010,Male,5250
Northland region,55-59 Years,2009,Male,5210
Northland region,55-59 Years,2012,Male,5510
Northland region,55-59 Years,2011,Male,5470
Northland region,55-59 Years,2014,Male,5670
Northland region,55-59 Years,2013,Male,5580
Auckland region,55-59 Years,2008,Male,35980
Auckland region,55-59 Years,2009,Male,36460
Auckland region,55-59 Years,2007,Male,35730
Auckland region,55-59 Years,2010,Male,36870
Auckland region,55-59 Years,2011,Male,37880
Auckland region,55-59 Years,2012,Male,38980
Auckland region,55-59 Years,2013,Male,40250
Northland region,55-59 Years,2015,Male,5820
Auckland region,55-59 Years,2014,Male,41520
Auckland region,55-59 Years,2015,Male,43030
Southland region,50-54 Years,2015,Male,3600
Waikato region,55-59 Years,2006,Male,11170
Waikato region,55-59 Years,2007,Male,11260
Waikato region,55-59 Years,2015,Male,13280
Waikato region,55-59 Years,2014,Male,13070
Waikato region,55-59 Years,2013,Male,12710
Waikato region,55-59 Years,2008,Male,11250
Waikato region,55-59 Years,2010,Male,11770
Waikato region,55-59 Years,2009,Male,11430
Waikato region,55-59 Years,2012,Male,12440
Bay of Plenty region,55-59 Years,2006,Male,7770
Waikato region,55-59 Years,2011,Male,12090
Bay of Plenty region,55-59 Years,2007,Male,7820
Bay of Plenty region,55-59 Years,2014,Male,8660
Bay of Plenty region,55-59 Years,2012,Male,8450
Bay of Plenty region,55-59 Years,2013,Male,8500
Bay of Plenty region,55-59 Years,2011,Male,8290
Bay of Plenty region,55-59 Years,2010,Male,8200
Bay of Plenty region,55-59 Years,2015,Male,8840
Bay of Plenty region,55-59 Years,2009,Male,8030
Bay of Plenty region,55-59 Years,2008,Male,7870
Gisborne region,55-59 Years,2007,Male,1390
Gisborne region,55-59 Years,2008,Male,1400
Gisborne region,55-59 Years,2006,Male,1330
Hawke's Bay region,55-59 Years,2006,Male,4800
Hawke's Bay region,55-59 Years,2007,Male,4750
Gisborne region,55-59 Years,2011,Male,1440
Gisborne region,55-59 Years,2010,Male,1450
Gisborne region,55-59 Years,2009,Male,1410
Gisborne region,55-59 Years,2014,Male,1470
Gisborne region,55-59 Years,2012,Male,1460
Gisborne region,55-59 Years,2013,Male,1460
Gisborne region,55-59 Years,2015,Male,1470
Hawke's Bay region,55-59 Years,2015,Male,5100
Hawke's Bay region,55-59 Years,2013,Male,4860
Hawke's Bay region,55-59 Years,2014,Male,4980
Hawke's Bay region,55-59 Years,2008,Male,4660
Hawke's Bay region,55-59 Years,2009,Male,4700
Hawke's Bay region,55-59 Years,2010,Male,4720
Hawke's Bay region,55-59 Years,2012,Male,4830
Hawke's Bay region,55-59 Years,2011,Male,4750
Taranaki region,55-59 Years,2008,Male,3310
Taranaki region,55-59 Years,2006,Male,3290
Taranaki region,55-59 Years,2007,Male,3270
Manawatu-Wanganui region,55-59 Years,2006,Male,6610
Manawatu-Wanganui region,55-59 Years,2007,Male,6550
Manawatu-Wanganui region,55-59 Years,2008,Male,6560
Taranaki region,55-59 Years,2015,Male,3670
Taranaki region,55-59 Years,2014,Male,3610
Taranaki region,55-59 Years,2011,Male,3510
Taranaki region,55-59 Years,2012,Male,3580
Taranaki region,55-59 Years,2010,Male,3440
Taranaki region,55-59 Years,2013,Male,3590
Manawatu-Wanganui region,55-59 Years,2009,Male,6650
Manawatu-Wanganui region,55-59 Years,2010,Male,6790
Taranaki region,55-59 Years,2009,Male,3380
Manawatu-Wanganui region,55-59 Years,2011,Male,6850
Manawatu-Wanganui region,55-59 Years,2012,Male,7030
Manawatu-Wanganui region,55-59 Years,2013,Male,7130
Manawatu-Wanganui region,55-59 Years,2014,Male,7290
Manawatu-Wanganui region,55-59 Years,2015,Male,7430
Wellington region,55-59 Years,2007,Male,12950
Wellington region,55-59 Years,2006,Male,13100
Wellington region,55-59 Years,2010,Male,13060
Wellington region,55-59 Years,2008,Male,12960
Wellington region,55-59 Years,2009,Male,12920
Wellington region,55-59 Years,2012,Male,13650
Wellington region,55-59 Years,2011,Male,13310
Wellington region,55-59 Years,2013,Male,13920
Wellington region,55-59 Years,2014,Male,14490
Wellington region,55-59 Years,2015,Male,14910
Tasman region,55-59 Years,2009,Male,1680
Tasman region,55-59 Years,2008,Male,1650
Tasman region,55-59 Years,2007,Male,1670
Tasman region,55-59 Years,2006,Male,1680
Nelson region,55-59 Years,2006,Male,1450
Nelson region,55-59 Years,2007,Male,1430
Nelson region,55-59 Years,2009,Male,1430
Nelson region,55-59 Years,2008,Male,1440
Marlborough region,55-59 Years,2006,Male,1640
Marlborough region,55-59 Years,2007,Male,1630
Marlborough region,55-59 Years,2009,Male,1580
Marlborough region,55-59 Years,2008,Male,1590
West Coast region,55-59 Years,2008,Male,1180
West Coast region,55-59 Years,2009,Male,1220
West Coast region,55-59 Years,2006,Male,1170
West Coast region,55-59 Years,2007,Male,1150
Tasman region,55-59 Years,2010,Male,1680
Tasman region,55-59 Years,2015,Male,1880
Tasman region,55-59 Years,2012,Male,1820
Tasman region,55-59 Years,2011,Male,1760
Tasman region,55-59 Years,2014,Male,1860
Tasman region,55-59 Years,2013,Male,1860
Nelson region,55-59 Years,2013,Male,1590
Nelson region,55-59 Years,2014,Male,1660
Nelson region,55-59 Years,2011,Male,1520
Nelson region,55-59 Years,2012,Male,1520
Nelson region,55-59 Years,2015,Male,1750
Nelson region,55-59 Years,2010,Male,1480
Canterbury region,55-59 Years,2006,Male,16520
Canterbury region,55-59 Years,2007,Male,16550
Canterbury region,55-59 Years,2008,Male,16650
Northland region,60-64 Years,2006,Male,4080
Northland region,60-64 Years,2007,Male,4380
Marlborough region,55-59 Years,2013,Male,1620
Marlborough region,55-59 Years,2014,Male,1680
Marlborough region,55-59 Years,2010,Male,1580
Marlborough region,55-59 Years,2015,Male,1710
Marlborough region,55-59 Years,2011,Male,1590
Marlborough region,55-59 Years,2012,Male,1580
West Coast region,55-59 Years,2012,Male,1310
West Coast region,55-59 Years,2011,Male,1280
West Coast region,55-59 Years,2010,Male,1220
West Coast region,55-59 Years,2014,Male,1350
West Coast region,55-59 Years,2013,Male,1320
West Coast region,55-59 Years,2015,Male,1380
Canterbury region,55-59 Years,2014,Male,18380
Canterbury region,55-59 Years,2013,Male,17820
Canterbury region,55-59 Years,2012,Male,17430
Canterbury region,55-59 Years,2011,Male,17160
Canterbury region,55-59 Years,2015,Male,18850
Canterbury region,55-59 Years,2010,Male,17060
Canterbury region,55-59 Years,2009,Male,16780
Otago region,55-59 Years,2007,Male,6100
Otago region,55-59 Years,2006,Male,6100
Northland region,60-64 Years,2008,Male,4710
Northland region,60-64 Years,2009,Male,4920
Northland region,60-64 Years,2010,Male,5160
Northland region,60-64 Years,2011,Male,5310
Auckland region,60-64 Years,2006,Male,26510
Otago region,55-59 Years,2010,Male,6310
Otago region,55-59 Years,2009,Male,6160
Southland region,55-59 Years,2006,Male,2940
Northland region,60-64 Years,2012,Male,5320
Otago region,55-59 Years,2008,Male,6100
Northland region,60-64 Years,2013,Male,5370
Northland region,60-64 Years,2014,Male,5480
Northland region,60-64 Years,2015,Male,5470
Otago region,55-59 Years,2012,Male,6650
Otago region,55-59 Years,2013,Male,6730
Otago region,55-59 Years,2011,Male,6500
Otago region,55-59 Years,2014,Male,6850
Otago region,55-59 Years,2015,Male,7020
Southland region,55-59 Years,2007,Male,2960
Southland region,55-59 Years,2008,Male,2930
Southland region,55-59 Years,2010,Male,3020
Southland region,55-59 Years,2009,Male,2970
Auckland region,60-64 Years,2010,Male,32690
Auckland region,60-64 Years,2007,Male,28060
Auckland region,60-64 Years,2009,Male,31250
Auckland region,60-64 Years,2011,Male,33850
Auckland region,60-64 Years,2008,Male,29910
Southland region,55-59 Years,2015,Male,3290
Southland region,55-59 Years,2011,Male,3090
Southland region,55-59 Years,2012,Male,3110
Southland region,55-59 Years,2013,Male,3210
Southland region,55-59 Years,2014,Male,3270
Auckland region,60-64 Years,2013,Male,34690
Auckland region,60-64 Years,2015,Male,36000
Auckland region,60-64 Years,2014,Male,35380
Auckland region,60-64 Years,2012,Male,34350
Waikato region,60-64 Years,2011,Male,11200
Waikato region,60-64 Years,2006,Male,8840
Waikato region,60-64 Years,2007,Male,9370
Waikato region,60-64 Years,2008,Male,10110
Waikato region,60-64 Years,2009,Male,10490
Waikato region,60-64 Years,2010,Male,10900
Waikato region,60-64 Years,2013,Male,11180
Waikato region,60-64 Years,2012,Male,11240
Waikato region,60-64 Years,2014,Male,11390
Bay of Plenty region,60-64 Years,2008,Male,7150
Bay of Plenty region,60-64 Years,2007,Male,6680
Bay of Plenty region,60-64 Years,2010,Male,7750
Bay of Plenty region,60-64 Years,2006,Male,6340
Bay of Plenty region,60-64 Years,2011,Male,7990
Bay of Plenty region,60-64 Years,2009,Male,7490
Waikato region,60-64 Years,2015,Male,11820
Bay of Plenty region,60-64 Years,2012,Male,7970
Bay of Plenty region,60-64 Years,2013,Male,7950
Gisborne region,60-64 Years,2012,Male,1330
Gisborne region,60-64 Years,2009,Male,1130
Gisborne region,60-64 Years,2010,Male,1180
Gisborne region,60-64 Years,2011,Male,1270
Gisborne region,60-64 Years,2007,Male,980
Gisborne region,60-64 Years,2008,Male,1060
Gisborne region,60-64 Years,2006,Male,970
Hawke's Bay region,60-64 Years,2006,Male,3680
Hawke's Bay region,60-64 Years,2008,Male,4210
Hawke's Bay region,60-64 Years,2007,Male,3890
Hawke's Bay region,60-64 Years,2010,Male,4600
Hawke's Bay region,60-64 Years,2009,Male,4400
Hawke's Bay region,60-64 Years,2011,Male,4750
Bay of Plenty region,60-64 Years,2015,Male,8230
Bay of Plenty region,60-64 Years,2014,Male,8030
Gisborne region,60-64 Years,2013,Male,1330
Hawke's Bay region,60-64 Years,2013,Male,4620
Hawke's Bay region,60-64 Years,2012,Male,4690
Taranaki region,60-64 Years,2011,Male,3240
Taranaki region,60-64 Years,2010,Male,3120
Taranaki region,60-64 Years,2007,Male,2670
Taranaki region,60-64 Years,2009,Male,3000
Taranaki region,60-64 Years,2008,Male,2830
Taranaki region,60-64 Years,2012,Male,3270
Taranaki region,60-64 Years,2006,Male,2570
Taranaki region,60-64 Years,2013,Male,3340
Manawatu-Wanganui region,60-64 Years,2006,Male,5220
Manawatu-Wanganui region,60-64 Years,2008,Male,5840
Manawatu-Wanganui region,60-64 Years,2007,Male,5470
Manawatu-Wanganui region,60-64 Years,2010,Male,6270
Manawatu-Wanganui region,60-64 Years,2009,Male,6090
Manawatu-Wanganui region,60-64 Years,2011,Male,6440
